,Dim_0,Dim_1,Dim_2,Dim_3,Dim_4,Dim_5,Dim_6,Dim_7
SPRR2D_cnv,0.0007359823,0.00031238957,-0.0070387702,0.0028082067,0.0041902605,-0.005029894,-0.012277974,0.0132685155
SPRR2A_cnv,0.0007355381,0.00031394465,-0.0070398897,0.002807092,0.0041921595,-0.0050315415,-0.012283152,0.013271626
SPRR2B_cnv,0.00073566474,0.0003135004,-0.007039571,0.0028074104,0.0041916147,-0.0050310697,-0.012281675,0.013270736
SPRR2E_cnv,0.00073541515,0.00031437445,-0.007040199,0.0028067864,0.0041926876,-0.005031998,-0.0122845825,0.013272485
SPRR2F_cnv,0.00073527265,0.00031488552,-0.007040566,0.002806421,0.004193308,-0.005032544,-0.012286292,0.013273515
SPRR2G_cnv,0.0007270379,0.00034423545,-0.0070616975,0.0027855048,0.004228981,-0.00506368,-0.012384094,0.013332238
LELP1_cnv,0.0007087458,0.0004094853,-0.007108614,0.0027389722,0.0043080365,-0.0051329285,-0.0126015,0.013462748
PRR9_cnv,0.0007044561,0.00042480463,-0.0071196165,0.0027280487,0.0043265754,-0.0051491796,-0.012652501,0.013493372
LOR_cnv,0.0007041674,0.00042584818,-0.007120367,0.0027273055,0.004327842,-0.005150279,-0.012655972,0.013495463
PGLYRP3_cnv,0.00070445426,0.00042480463,-0.0071196165,0.0027280487,0.0043265764,-0.005149179,-0.012652501,0.013493372
PGLYRP4_cnv,0.0007040575,0.00042624818,-0.0071206465,0.0027270196,0.0043283273,-0.0051507037,-0.012657296,0.01349626
S100A12_cnv,0.0007036133,0.00042783422,-0.0071217865,0.0027258908,0.0043302327,-0.0051523824,-0.012662565,0.013499421
S100A8_cnv,0.0007034084,0.0004285879,-0.0071223136,0.0027253465,0.004331152,-0.005153185,-0.012665076,0.013500938
S100A9_cnv,0.0007034084,0.0004285879,-0.0071223136,0.0027253465,0.004331152,-0.005153185,-0.012665076,0.013500938
S100A7A_cnv,0.00070363656,0.0004277723,-0.0071217306,0.0027259346,0.004330172,-0.005152309,-0.012662351,0.013499307
S100A7L2_cnv,0.00070363656,0.0004277723,-0.0071217306,0.0027259346,0.004330172,-0.005152309,-0.012662351,0.013499307
S100A7_cnv,0.0007111449,0.00040086964,-0.007102443,0.0027451273,0.0042977137,-0.0051238043,-0.012572845,0.013445534
RN7SL44P_cnv,0.00071124174,0.00040051574,-0.007102195,0.002745376,0.0042972956,-0.005123428,-0.012571679,0.013444833
S100A3_cnv,0.00071131065,0.00040026288,-0.007102018,0.0027455548,0.0042969985,-0.005123159,-0.012570851,0.013444334
S100A4_cnv,0.00071131065,0.00040026288,-0.007102018,0.0027455548,0.0042969985,-0.005123159,-0.012570851,0.013444334
S100A5_cnv,0.00071131065,0.00040026288,-0.007102018,0.0027455548,0.0042969985,-0.005123159,-0.012570851,0.013444334
S100A6_cnv,0.00071136095,0.00040007103,-0.0071018822,0.002745689,0.004296772,-0.005122958,-0.012570217,0.013443957
S100A2_cnv,0.00071141217,0.00039988942,-0.0071017556,0.002745809,0.0042965617,-0.005122773,-0.012569627,0.013443597
S100A16_cnv,0.0007122904,0.00039672758,-0.0070994943,0.002748069,0.0042927405,-0.005119408,-0.0125591215,0.013437298
S100A14_cnv,0.0007122746,0.00039676623,-0.007099528,0.0027480358,0.0042927926,-0.005119454,-0.012559267,0.013437383
S100A13_cnv,0.0007122746,0.00039676623,-0.007099528,0.0027480358,0.0042927926,-0.005119454,-0.012559267,0.013437383
S100A1_cnv,0.0007122904,0.00039672758,-0.0070994925,0.002748069,0.0042927405,-0.0051194075,-0.0125591215,0.013437298
CHTOP_cnv,0.0007122746,0.00039676577,-0.007099528,0.0027480358,0.0042927945,-0.005119454,-0.012559269,0.013437383
SNAPIN_cnv,0.0007120203,0.00039772433,-0.007100202,0.00274737,0.0042939195,-0.0051204623,-0.012562415,0.013439273
ILF2_cnv,0.00071236026,0.00039649988,-0.0070993192,0.0027482375,0.0042924425,-0.0051191635,-0.012558339,0.01343683
NPR1_cnv,0.0007121647,0.00039719697,-0.0070998278,0.0027477453,0.0042932825,-0.0051199053,-0.012560671,0.013438228
INTS3_cnv,0.0007113982,0.00039996952,-0.007101815,0.0027457797,0.004296639,-0.005122834,-0.012569873,0.013443742
RN7SL372P_cnv,0.00071139727,0.00039996952,-0.007101817,0.0027457802,0.004296639,-0.005122834,-0.012569873,0.013443742
SLC27A3_cnv,0.0007115407,0.00039946008,-0.0071014557,0.002746134,0.0042960253,-0.005122304,-0.0125682,0.013442744
GATAD2B_cnv,0.00069427304,0.0004612822,-0.007145727,0.0027020471,0.0043704044,-0.0051878304,-0.012773678,0.013566168
DENND4B_cnv,0.00069523323,0.00045787287,-0.007143287,0.002704482,0.0043663066,-0.005184207,-0.012762319,0.013559332
CRTC2_cnv,0.00069523323,0.00045787287,-0.007143287,0.002704482,0.0043663066,-0.005184207,-0.012762319,0.013559332
SLC39A1_cnv,0.00069230795,0.00046834582,-0.007150786,0.0026969998,0.004378887,-0.0051953155,-0.012797177,0.013580299
CREB3L4_cnv,0.0006932784,0.0004648557,-0.00714829,0.002699492,0.004374697,-0.0051916167,-0.012785565,0.013573311
JTB_cnv,0.00069286395,0.00046635582,-0.0071493573,0.0026984261,0.0043764943,-0.005193204,-0.012790542,0.0135763055
RAB13_cnv,0.00069152843,0.00047114352,-0.0071527828,0.0026950082,0.0043822443,-0.0051982775,-0.012806468,0.013585888
